Season;Azimuth;Angle;PctOnModule
Summer;-135;15;[0.0014706311859125647, 0.0014787115770439523, 0.0014787115770439523, 0.0014787115770439523, 0.009015706927644777, 0.03598936406370528, 0.13690369401261285, 0.27227101747949517, 0.3980060850766488, 0.497575300542595, 0.5474504234265215, 0.5654366763181579, 0.5452274018238459, 0.5062751819984216, 0.4285940005182851, 0.3289484046972522, 0.21575813049003506, 0.09979464162364858, 0.026486619782763347, 0.0028417046625399006, 0.0014787115770439523, 0.0014787115770439523, 0.0014787115770439523, 0.0014787115770439523]
Winter;-135;15;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004900702417918632, 0.044507069450584, 0.13263277955486588, 0.21182106899880146, 0.24620060597636817, 0.26346447639948706, 0.24800438935471275, 0.20309761349246022, 0.13817281066693163, 0.06998152469293333, 0.01671467299077268, 0.001024256734430189, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-135;20;[0.0014596977847610934, 0.0014677181022597807, 0.0014677181022597807, 0.0014677181022597807, 0.008908486527737174, 0.03567670747089934, 0.10719663511546501, 0.242582572352334, 0.37648173314345496, 0.4842681472833406, 0.5421905845697496, 0.5666717079122349, 0.551674606635589, 0.5161235906105742, 0.44008798353724626, 0.34023259876910644, 0.22498313135777995, 0.10438397685068125, 0.027806206834455366, 0.0030280630383370303, 0.0014677181022597807, 0.0014677181022597807, 0.0014677181022597807, 0.0014677181022597807]
Winter;-135;20;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004832751550677967, 0.03742171196624925, 0.12660533013279857, 0.2110950594721474, 0.24931899559928575, 0.2700136393257405, 0.2566684780644099, 0.21243432895469294, 0.14622426367497396, 0.07535616447634572, 0.018078778290730103, 0.00114530088010638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-135;25;[0.0014457816077244406, 0.0014537254627119375, 0.0014537254627119375, 0.0014537254627119375, 0.008772408575295921, 0.035290235779346577, 0.08400899893364015, 0.21143903329888997, 0.3529174440884988, 0.468443242089093, 0.5341805539634028, 0.5650490300389831, 0.5552888655620274, 0.5232907477277181, 0.44925705242423847, 0.34968293858276533, 0.23297070774406822, 0.10839843471012381, 0.028969051119209045, 0.0031993147916961648, 0.0014537254627119375, 0.0014537254627119375, 0.0014537254627119375, 0.0014537254627119375]
Winter;-135;25;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004747361090184788, 0.030671435586898263, 0.11990655513526852, 0.20928772509192053, 0.25119574245656257, 0.2751794360695375, 0.2639860257343414, 0.2206068828055035, 0.1534450016174137, 0.08028870808117854, 0.019335627866700046, 0.0012586554563921023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-135;30;[0.0014289870557813707, 0.0014368386330109385, 0.0014368386330109385, 0.0014368386330109385, 0.008608202330969853, 0.034824581739448905, 0.0757107710333664, 0.179047164565895, 0.3274507464984784, 0.4501820590413603, 0.5234591901876195, 0.560578493632985, 0.5560577843277336, 0.5277470708820063, 0.456057329015259, 0.35724748551648655, 0.23967086621751346, 0.11181047294221276, 0.029965524521409454, 0.003354257151753959, 0.0014368386330109385, 0.0014368386330109385, 0.0014368386330109385, 0.0014368386330109385]
Winter;-135;30;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004645042347296156, 0.02548495840866244, 0.11258134499098994, 0.20641026026918877, 0.25182091240928, 0.27893501340862065, 0.2699180455086451, 0.227570138347082, 0.15979151611154027, 0.08474080332991604, 0.020478832856570955, 0.001362888149829411, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-135;35;[0.0014094401967601144, 0.0014171843736653898, 0.0014171843736653898, 0.0014171843736653898, 0.008418001216184558, 0.03428414609663364, 0.07484258954458839, 0.14565007123482512, 0.3002356784045625, 0.4295815165485256, 0.5100791737608773, 0.5532829020703265, 0.5539818067694104, 0.5294760897421728, 0.46045790443152923, 0.36288583877355646, 0.24504227599700074, 0.11459686063505667, 0.030786684164569467, 0.0034918093880752085, 0.0014171843736653898, 0.0014171843736653898, 0.0014171843736653898, 0.0014171843736653898]
Winter;-135;35;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004527244194012025, 0.022835014771704618, 0.10467906965770549, 0.2024806831495812, 0.2511921869019769, 0.28126204148647566, 0.27443431031258964, 0.23328726217820617, 0.16522663993063486, 0.08868345976893678, 0.02149679751328212, 0.0014572257836535346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-135;40;[0.0013872878589635286, 0.0013949103197270646, 0.0013949103197270646, 0.0013949103197270646, 0.00820280676398516, 0.03367170277303374, 0.07385851272377782, 0.11855127650849084, 0.27144281671895504, 0.40675449141107917, 0.49410746085142043, 0.5431981687552356, 0.5490740272786677, 0.5284740584191924, 0.46244045838955905, 0.36656893239265514, 0.24905229436944165, 0.11673877262764977, 0.03142603592557023, 0.0036110180609587434, 0.0013949103197270646, 0.0013949103197270646, 0.0013949103197270646, 0.0013949103197270646]
Winter;-135;40;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004395134162109222, 0.0224160992642384, 0.09625327525537102, 0.19752381419578482, 0.24931480817961757, 0.28215054964308, 0.27751314080424105, 0.2377301633385386, 0.1697194972570689, 0.09209185039997947, 0.022382309666518243, 0.0015409704262315848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-135;45;[0.0013626965724534107, 0.0013701839162580996, 0.0013701839162580996, 0.0013701839162580996, 0.007963958449851581, 0.03299186632910718, 0.0727658762525895, 0.10695534069950433, 0.24125908971603122, 0.38183027018345705, 0.475625805949372, 0.5303736223531931, 0.5413601719125868, 0.5247497079012059, 0.46199895115272077, 0.3682788454052234, 0.25167696888485114, 0.11822186115096817, 0.03188199197736676, 0.0037110614583363262, 0.0013701839162580996, 0.0013701839162580996, 0.0013701839162580996, 0.0013701839162580996]
Winter;-135;45;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00424850318026488, 0.021952997094057538, 0.08736280980310976, 0.1915712391634935, 0.24620152593806552, 0.28159877344275225, 0.27914119502343876, 0.24087635710557662, 0.17324678895079978, 0.09494452296806917, 0.02312913523730931, 0.0016135040952318038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-135;50;[0.0013358513642708653, 0.0013431912069316943, 0.0013431912069316943, 0.0013431912069316943, 0.007703265013645294, 0.03224985530982558, 0.0715728371673275, 0.10556442267451004, 0.2098873403520981, 0.35495489616439263, 0.4547313198750187, 0.5148724408206632, 0.530878745949332, 0.5183241482897344, 0.45913940323294017, 0.368008638463928, 0.25290178770736665, 0.11903806505992127, 0.032148354651341415, 0.0037912532698811514, 0.0013431912069316943, 0.0013431912069316943, 0.0013431912069316943, 0.0013431912069316943]
Winter;-135;50;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004088461766800338, 0.021448225748089005, 0.07807223527469985, 0.18466125231119868, 0.24187254619396945, 0.27961302061988585, 0.27931327209515877, 0.2427119217027945, 0.17578902394866147, 0.09722304342429462, 0.023733670207408814, 0.0016742928738826524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-135;55;[0.00130695441486317, 0.001314135483076704, 0.001314135483076704, 0.001314135483076704, 0.007422701449083011, 0.03145412246412507, 0.07028831659147483, 0.10406622065484004, 0.17754561341866396, 0.3262913702760763, 0.43153702486743356, 0.4967721877900506, 0.5176813369327562, 0.5092309223987892, 0.45387977207724384, 0.36576222682617615, 0.2527199233481426, 0.11918118620139213, 0.03222294322627597, 0.0038510455474436867, 0.001314135483076704, 0.001314135483076704, 0.001314135483076704, 0.001314135483076704]
Winter;-135;55;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003916222501122402, 0.02090504811221299, 0.0689663829855928, 0.17683877489021513, 0.2363554814211821, 0.27620756116998024, 0.27803213998562487, 0.24323024758509387, 0.1773349150844236, 0.09891382487860226, 0.02419016360856091, 0.0017232276032507952, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
